Id,producto_id,sucursal_id,cliente_id,fecha_entrega,cantidad,total_venta,metodo_pago
1191,63,37,150,2024-06-02,2,130.50,t
1192,138,23,87,2024-06-01,1,55.25,t
1193,17,6,55,2024-05-29,3,247.75,e
1194,159,44,32,2024-05-28,2,105.50,t
1195,67,11,129,2024-05-25,1,45.25,e
1196,118,41,178,2024-05-24,2,160.50,t
1197,28,9,68,2024-05-21,3,210.75,e
1198,85,46,94,2024-05-20,1,55.25,t
1199,112,15,77,2024-05-17,2,120.50,e
1200,189,2,149,2024-05-16,1,75.25,t
1201,53,35,3,2024-06-03,3,292.75,e
1202,167,21,72,2024-06-02,2,170.50,t
1203,11,4,198,2024-05-30,1,55.25,e
1204,42,40,123,2024-05-29,2,110.50,t
1205,95,14,36,2024-05-26,1,75.25,e
1206,129,43,82,2024-05-25,3,247.75,t
1207,83,8,167,2024-05-22,2,130.50,e
1208,57,32,5,2024-05-21,1,45.25,t
1209,114,48,101,2024-05-18,2,160.50,e
1210,26,18,181,2024-05-17,1,55.25,t
1211,107,39,22,2024-06-04,3,292.75,e
1212,177,25,56,2024-06-03,2,170.50,t
1213,34,12,147,2024-06-01,1,55.25,e
1214,70,47,74,2024-05-30,2,110.50,t
1215,92,16,17,2024-05-29,1,75.25,e
1216,133,42,103,2024-05-26,3,247.75,t
1217,52,7,189,2024-05-25,2,130.50,e
1218,87,33,7,2024-05-22,1,45.25,t
1219,116,3,171,2024-05-21,2,160.50,e
1220,184,38,66,2024-05-18,1,55.25,t
1221,142,27,155,2024-05-17,3,292.75,e
1222,60,10,44,2024-06-04,2,170.50,t
1223,27,45,169,2024-06-03,1,55.25,e
1224,71,20,112,2024-05-31,2,110.50,t
1225,131,5,88,2024-05-30,1,75.25,e
1226,157,36,45,2024-05-27,3,247.75,t
1227,99,13,179,2024-05-26,2,130.50,e
1228,23,1,8,2024-05-23,1,45.25,t
1229,76,28,185,2024-05-22,2,160.50,e
1230,204,34,62,2024-05-19,1,55.25,t
1231,145,22,140,2024-05-18,3,292.75,e
1232,116,40,12,2024-06-05,2,170.50,t
1233,62,16,129,2024-06-04,1,55.25,e
1234,178,1,32,2024-06-01,3,247.75,t
1235,9,35,178,2024-05-31,2,130.50,e
1236,135,21,3,2024-05-28,1,45.25,t
1237,191,6,123,2024-05-27,2,160.50,e
1238,114,44,82,2024-05-24,1,55.25,t
1239,70,11,167,2024-05-23,3,292.75,e
1240,132,41,5,2024-05-20,2,170.50,t
1241,56,9,101,2024-05-19,1,55.25,e
1242,103,46,181,2024-05-16,3,247.75,t
1243,178,15,56,2024-06-05,2,130.50,e
1244,48,23,149,2024-06-04,1,55.25,t
1245,61,6,36,2024-06-01,3,292.75,e
1246,155,40,82,2024-05-31,2,170.50,t
1247,81,14,167,2024-05-30,1,55.25,e
1248,197,44,5,2024-05-27,2,160.50,t
1249,173,11,101,2024-05-26,1,75.25,e
1250,12,41,181,2024-05-23,3,247.75,t
