Id,producto_id,sucursal_id,cliente_id,fecha_entrega,cantidad,total_venta,metodo_pago
375,8,32,112,2024-05-11,2,120.00,t
376,195,18,78,2024-05-18,1,60.00,e
377,103,37,191,2024-05-13,3,210.75,t
378,22,44,10,2024-05-09,2,90.00,e
379,130,10,198,2024-05-14,1,30.25,t
380,74,27,33,2024-05-13,2,120.00,e
381,157,14,166,2024-05-10,1,85.00,t
382,45,40,129,2024-05-18,3,180.50,e
383,30,25,44,2024-05-17,1,55.75,t
384,201,4,77,2024-05-14,2,95.00,e
385,93,47,13,2024-05-19,1,60.00,t
386,170,22,112,2024-05-16,2,110.25,e
387,61,39,145,2024-05-21,1,40.50,t
388,18,13,10,2024-05-18,3,270.00,e
389,191,30,69,2024-05-11,2,115.75,t
390,137,5,122,2024-05-14,1,75.00,e
391,34,24,188,2024-05-21,2,135.50,t
392,83,3,95,2024-05-18,1,50.25,e
393,188,50,154,2024-05-16,3,205.00,t
394,13,8,31,2024-05-15,1,45.50,e
395,156,35,22,2024-05-12,2,120.75,t
396,45,46,110,2024-05-09,1,65.00,e
397,60,2,77,2024-05-08,3,255.25,t
398,123,29,155,2024-05-15,2,105.00,e
399,200,16,199,2024-05-18,1,55.75,t
400,98,42,66,2024-05-21,3,180.00,e
401,151,44,37,2024-05-18,2,120.25,t
402,27,7,53,2024-05-17,1,65.00,e
403,190,23,133,2024-05-14,3,255.25,t
404,79,19,101,2024-05-11,2,105.00,e
405,106,50,155,2024-05-10,1,70.50,t
406,24,10,188,2024-05-13,2,120.75,e
407,177,36,109,2024-05-12,1,60.00,t
408,40,15,37,2024-05-19,3,270.00,e
409,102,41,57,2024-05-16,2,115.75,t
410,119,26,176,2024-05-15,1,50.25,e
411,166,3,23,2024-05-20,2,135.50,t
412,55,48,168,2024-05-17,1,75.00,e
413,10,20,77,2024-05-16,3,180.00,t
414,136,37,123,2024-05-11,2,120.25,e
415,62,32,112,2024-05-11,2,150.00,t
416,195,18,78,2024-05-18,1,45.50,e
417,104,37,191,2024-05-13,3,210.75,t
418,23,44,10,2024-05-09,2,90.00,e
419,131,10,198,2024-05-14,1,30.25,t
420,75,27,33,2024-05-13,2,120.00,e
421,158,14,166,2024-05-10,1,85.00,t
422,46,40,129,2024-05-18,3,180.50,e
423,31,25,44,2024-05-17,1,55.75,t
424,202,4,77,2024-05-14,2,95.00,e
425,94,47,13,2024-05-19,1,60.00,t
426,171,22,112,2024-05-16,2,110.25,e
427,62,39,145,2024-05-21,1,40.50,t
428,19,13,10,2024-05-18,3,270.00,e
429,192,30,69,2024-05-11,2,115.75,t
430,138,5,122,2024-05-14,1,75.00,e
431,35,24,188,2024-05-21,2,135.50,t
432,84,3,95,2024-05-18,1,50.25,e
433,189,50,154,2024-05-16,3,205.00,t
