Id,producto_id,sucursal_id,cliente_id,fecha_entrega,cantidad,total_venta,metodo_pago
1392,22,31,60,2024-06-05,2,135.50,t
1393,127,6,100,2024-06-04,1,55.25,t
1394,50,15,182,2024-06-01,3,210.75,e
1395,168,26,122,2024-05-31,2,131.00,t
1396,80,11,92,2024-05-28,1,47.25,e
1397,129,4,147,2024-05-27,2,157.50,t
1398,26,37,174,2024-05-24,3,225.75,e
1399,91,8,159,2024-05-23,1,55.25,t
1400,183,32,109,2024-05-20,2,135.50,e
1401,32,10,24,2024-05-19,1,55.25,t
1402,162,41,36,2024-06-07,3,272.25,e
1403,79,17,67,2024-06-06,2,120.00,t
1404,129,21,90,2024-06-03,1,62.75,e
1405,86,47,105,2024-06-02,3,225.75,t
1406,154,14,24,2024-05-31,2,131.00,e
1407,61,3,43,2024-05-30,1,55.25,t
1408,94,38,161,2024-05-27,3,242.25,e
1409,104,9,116,2024-05-26,2,131.00,t
1410,10,22,134,2024-05-23,1,47.25,e
1411,11,34,185,2024-05-22,2,157.50,t
1412,46,45,55,2024-05-19,3,210.75,e
1413,152,5,121,2024-05-18,1,55.25,t
1414,31,14,140,2024-06-06,2,135.50,e
1415,88,18,6,2024-06-05,1,55.25,t
1416,29,23,15,2024-06-02,3,272.25,e
1417,96,1,18,2024-06-01,2,120.00,t
1418,12,28,132,2024-05-29,1,62.75,e
1419,169,13,74,2024-05-28,3,225.75,t
1420,56,42,43,2024-05-25,2,131.00,e
1421,116,16,73,2024-05-24,1,47.25,t
1422,32,6,54,2024-05-21,2,157.50,e
1423,180,35,133,2024-05-20,3,210.75,t
1424,133,43,156,2024-05-17,1,55.25,e
1425,134,2,94,2024-05-16,2,135.50,t
1426,186,44,16,2024-06-07,3,272.25,e
1427,42,20,52,2024-06-06,2,120.00,t
1428,126,36,116,2024-06-03,1,62.75,e
1429,97,7,24,2024-06-02,3,225.75,t
1430,115,30,157,2024-05-31,2,131.00,e
1431,66,5,140,2024-05-30,1,55.25,t
1432,41,41,173,2024-05-27,3,242.25,e
1433,9,34,27,2024-05-26,2,131.00,t
1434,110,19,199,2024-05-23,1,47.25,e
1435,86,20,89,2024-05-22,2,157.50,t
1436,79,44,83,2024-05-19,3,210.75,e
1437,119,1,38,2024-05-18,1,55.25,t
1438,6,25,88,2024-06-05,2,135.50,e
1439,52,10,111,2024-06-04,1,55.25,t
1440,33,29,169,2024-06-01,3,272.25,e
1441,143,36,104,2024-05-31,2,120.00,t
1442,7,21,72,2024-05-28,1,62.75,e
1443,56,47,29,2024-05-27,3,225.75,t
1444,163,8,182,2024-05-24,2,131.00,e
1445,19,3,196,2024-05-23,1,47.25,t
1446,62,39,86,2024-05-20,2,157.50,e
1447,1,16,143,2024-05-19,3,210.75,t
1448,170,7,72,2024-05-16,1,55.25,e
1449,173,25,171,2024-06-06,2,135.50,t
1450,121,11,12,2024-06-05,3,272.25,e
1451,160,4,140,2024-06-02,2,120.00,t
1452,26,30,99,2024-06-01,1,62.75,e
1453,54,39,92,2024-05-29,3,225.75,t
1454,195,14,13,2024-05-28,2,131.00,e
1455,72,43,60,2024-05-25,1,47.25,t
1456,151,6,28,2024-05-24,2,157.50,e
1457,69,18,140,2024-05-21,3,210.75,t
1458,178,38,57,2024-05-20,1,55.25,e
1459,172,16,180,2024-05-17,2,135.50,t
1460,23,5,165,2024-05-16,3,272.25,e
1461,82,42,3,2024-06-07,2,120.00,t
1462,27,21,64,2024-06-06,1,62.75,e
1463,159,36,112,2024-06-03,3,225.75,t
1464,77,8,13,2024-06-02,2,131.00,e
1465,4,1,139,2024-05-31,1,47.25,t
1466,160,31,33,2024-05-30,2,157.50,e
1467,79,22,94,2024-05-27,3,210.75,t
1468,29,12,50,2024-05-26,1,55.25,e
1469,163,23,128,2024-05-23,2,135.50,t
1470,106,42,98,2024-05-22,3,272.25,e
1471,17,19,138,2024-05-19,2,120.00,t
1472,97,43,92,2024-05-18,1,62.75,e
1473,81,5,103,2024-06-05,3,225.75,t
1474,15,20,160,2024-06-04,2,131.00,e
1475,43,24,181,2024-06-01,1,47.25,t
1476,100,29,122,2024-05-31,3,210.75,e
