Id,producto_id,sucursal_id,cliente_id,fecha_entrega,cantidad,total_venta,metodo_pago
1049,137,26,140,2024-05-31,1,50.25,e
1050,17,16,114,2024-05-30,2,135.50,t
1051,193,4,166,2024-05-27,1,75.00,e
1052,124,46,108,2024-05-26,3,255.25,t
1053,95,10,184,2024-05-23,2,105.00,e
1054,16,36,42,2024-05-22,1,60.00,t
1055,188,15,120,2024-05-19,3,210.75,e
1056,91,31,104,2024-05-18,2,115.75,t
1057,178,7,56,2024-05-15,1,85.00,e
1058,30,40,163,2024-05-30,2,120.25,t
1059,151,17,21,2024-05-29,1,65.00,e
1060,43,2,71,2024-05-26,3,255.25,t
1061,205,30,99,2024-05-25,2,110.25,e
1062,93,1,88,2024-05-22,1,50.25,t
1063,22,19,112,2024-05-21,2,135.50,e
1064,158,33,56,2024-05-18,1,75.00,t
1065,8,14,197,2024-05-17,3,270.00,e
1066,107,47,163,2024-05-14,2,115.75,t
1067,194,31,56,2024-05-28,1,65.00,e
1068,57,2,21,2024-05-27,3,255.25,t
1069,203,9,71,2024-05-24,2,110.25,e
1070,94,30,99,2024-05-23,1,50.25,t
1071,23,1,88,2024-05-20,2,135.50,e
1072,159,19,112,2024-05-19,1,75.00,t
1073,77,33,56,2024-05-16,3,270.00,e
1074,12,14,197,2024-05-15,2,115.75,t
1075,111,47,163,2024-05-30,1,65.00,e
1076,184,31,56,2024-05-29,3,255.25,t
1077,58,2,21,2024-05-26,2,110.25,e
1078,213,30,99,2024-05-25,1,50.25,t
1079,96,1,88,2024-05-22,2,135.50,e
1080,45,19,112,2024-05-21,1,75.00,t
1081,168,33,56,2024-05-18,3,270.00,e
1082,31,14,197,2024-05-17,2,115.75,t
1083,200,47,163,2024-05-14,1,65.00,e
1084,85,31,56,2024-05-30,3,255.25,t
1085,13,2,21,2024-05-29,2,110.25,e
1086,192,30,99,2024-05-26,1,50.25,t
1087,72,1,88,2024-05-23,2,135.50,e
1088,145,19,112,2024-05-20,1,75.00,t
1089,53,33,56,2024-05-19,3,270.00,e
1090,187,14,197,2024-05-16,2,115.75,t
1091,73,47,163,2024-05-15,1,65.00,e
1092,30,31,56,2024-05-12,3,255.25,t
1093,123,2,21,2024-05-31,2,110.25,e
1094,87,30,99,2024-05-30,1,50.25,t
1095,14,1,88,2024-05-27,2,135.50,e
1096,162,19,112,2024-05-26,1,75.00,t
1097,68,33,56,2024-05-23,3,270.00,e
1098,3,14,197,2024-05-22,2,115.75,t
1099,149,47,163,2024-05-19,1,65.00,e
1100,62,31,56,2024-05-18,3,255.25,t
1101,207,2,21,2024-05-15,2,110.25,e
1102,74,30,99,2024-05-14,1,50.25,t
1103,118,1,88,2024-05-31,2,135.50,e
1104,47,19,112,2024-05-30,1,75.00,t
1105,97,33,56,2024-05-27,3,270.00,e
1106,39,14,197,2024-05-26,2,115.75,t
1107,177,47,163,2024-05-23,1,65.00,e
1108,51,31,56,2024-05-22,3,255.25,t
1109,167,2,21,2024-05-19,2,110.25,e
1110,11,30,99,2024-05-18,1,50.25,t
1111,171,1,88,2024-05-15,2,135.50,e
1112,10,19,112,2024-05-14,1,75.00,t
1113,198,33,56,2024-05-31,3,270.00,e
1114,48,14,197,2024-05-30,2,115.75,t
1115,165,47,163,2024-05-27,1,65.00,e
1116,72,31,56,2024-05-26,3,255.25,t
1117,138,2,21,2024-05-23,2,110.25,e
1118,33,30,99,2024-05-20,1,50.25,t
1119,182,1,88,2024-05-19,2,135.50,e
1120,84,19,112,2024-05-16,1,75.00,t
1121,142,33,56,2024-05-15,3,270.00,e
1122,9,14,197,2024-05-12,2,115.75,t
1123,143,47,163,2024-05-31,1,65.00,e
1124,59,31,56,2024-05-30,3,255.25,t
1125,129,2,21,2024-05-27,2,110.25,e
1126,194,30,99,2024-05-26,1,50.25,t
1127,78,1,88,2024-05-23,2,135.50,e
1128,213,19,112,2024-05-20,1,75.00,t
1129,7,33,56,2024-05-19,3,270.00,e
1130,204,14,197,2024-05-16,2,115.75,t
1131,96,47,163,2024-05-15,1,65.00,e
1132,42,31,56,2024-05-12,3,255.25,t
1133,104,2,21,2024-05-31,2,110.25,e
1134,188,30,99,2024-05-30,1,50.25,t
