Id,producto_id,sucursal_id,cliente_id,fecha_entrega,cantidad,total_venta,metodo_pago
961,118,27,148,2024-05-27,3,210.75,t
962,62,35,199,2024-05-30,1,55.75,t
963,72,6,126,2024-05-28,2,105.00,e
964,157,21,81,2024-05-29,1,70.50,t
965,38,49,84,2024-05-21,2,120.75,e
966,142,13,111,2024-05-19,1,60.00,t
967,105,29,179,2024-05-24,3,270.00,e
968,12,46,156,2024-05-22,2,115.75,t
969,99,18,184,2024-05-22,1,50.25,e
970,187,14,137,2024-05-21,2,135.50,t
971,89,23,93,2024-05-28,1,75.00,e
972,116,39,102,2024-05-24,3,180.00,t
973,33,48,55,2024-05-22,2,120.25,e
974,194,3,4,2024-05-25,1,85.00,t
975,39,10,89,2024-05-30,3,180.50,e
976,176,42,136,2024-05-29,1,55.75,t
977,81,15,53,2024-05-26,2,95.00,e
978,8,44,192,2024-05-25,1,60.00,t
979,54,32,17,2024-05-21,2,110.25,e
980,159,7,96,2024-05-19,1,40.50,t
981,125,37,50,2024-05-31,3,270.00,e
982,18,2,5,2024-05-29,2,115.75,t
983,197,20,180,2024-05-26,1,50.25,e
984,62,25,10,2024-05-25,2,135.50,t
985,149,8,87,2024-05-22,1,75.00,e
986,37,28,28,2024-05-21,3,180.00,t
987,133,12,15,2024-05-30,2,120.25,e
988,88,47,127,2024-05-28,1,45.50,t
989,102,34,190,2024-05-27,3,255.25,e
990,184,11,49,2024-05-24,2,105.00,t
991,29,40,113,2024-05-23,1,45.50,e
992,115,16,70,2024-05-22,3,205.00,t
993,75,22,29,2024-05-19,1,30.25,e
994,22,38,129,2024-05-27,2,120.75,t
995,178,26,172,2024-05-26,1,65.00,e
996,43,36,104,2024-05-25,3,255.25,t
997,106,1,1,2024-05-30,2,105.00,e
998,195,19,165,2024-05-28,1,55.75,t
999,90,9,81,2024-05-24,2,120.25,e
1000,5,24,148,2024-05-21,1,65.00,t
1001,153,45,86,2024-05-31,3,270.00,e
1002,43,31,3,2024-05-29,2,115.75,t
1003,63,4,191,2024-05-27,1,50.25,e
1004,137,43,95,2024-05-26,2,135.50,t
1005,16,30,30,2024-05-23,1,75.00,e
1006,197,17,2,2024-05-22,3,180.00,t
1007,14,33,113,2024-05-19,2,120.25,e
1008,184,5,149,2024-05-18,1,85.00,t
1009,77,50,165,2024-05-27,3,180.50,e
1010,171,41,60,2024-05-25,1,55.75,t
1011,86,37,92,2024-05-24,2,95.00,e
1012,32,13,42,2024-05-21,1,60.00,t
1013,187,39,139,2024-05-20,2,110.25,e
1014,94,46,128,2024-05-17,1,40.50,t
1015,113,7,8,2024-05-31,3,270.00,e
1016,25,49,96,2024-05-30,2,115.75,t
1017,159,9,168,2024-05-27,1,75.00,e
1018,67,26,88,2024-05-26,3,180.00,t
1019,191,16,97,2024-05-23,2,110.25,e
1020,47,4,162,2024-05-22,1,50.25,t
1021,127,42,22,2024-05-19,2,135.50,e
1022,12,10,67,2024-05-18,1,85.00,t
1023,82,38,120,2024-05-15,3,180.50,e
1024,159,12,131,2024-05-31,1,55.75,t
1025,45,48,62,2024-05-29,2,95.00,e
1026,203,29,180,2024-05-28,1,60.00,t
1027,88,20,134,2024-05-25,2,110.25,e
1028,18,43,108,2024-05-24,1,40.50,t
1029,141,44,135,2024-05-21,3,270.00,e
1030,17,2,61,2024-05-20,2,115.75,t
1031,199,30,170,2024-05-17,1,75.00,e
1032,7,14,79,2024-05-16,3,180.00,t
1033,172,6,152,2024-05-15,1,55.75,e
1034,78,31,184,2024-05-30,2,120.25,t
1035,11,37,104,2024-05-29,1,65.00,e
1036,187,3,59,2024-05-26,3,255.25,t
1037,42,21,88,2024-05-25,2,105.00,e
1038,196,15,19,2024-05-22,1,50.25,t
1039,69,28,145,2024-05-21,2,120.75,e
1040,103,44,107,2024-05-18,1,60.00,t
1041,121,8,197,2024-05-17,2,135.50,e
1042,19,47,163,2024-05-14,1,85.00,t
1043,85,33,56,2024-05-30,3,270.00,e
1044,163,9,21,2024-05-29,1,55.75,t
1045,47,36,46,2024-05-26,2,95.00,e
1046,205,18,112,2024-05-25,1,60.00,t
1047,92,1,71,2024-05-22,2,110.25,e
1048,21,19,99,2024-05-21,1,40.50,t
