Id,producto_id,sucursal_id,cliente_id,fecha_entrega,cantidad,total_venta,metodo_pago
1641,27,14,119,2024-06-13,1,55.25,e
1642,175,26,31,2024-06-12,2,135.50,e
1643,117,5,158,2024-06-09,3,210.75,e
1644,19,47,121,2024-06-08,1,47.25,e
1645,146,30,85,2024-06-05,2,120.00,e
1646,88,39,2,2024-06-04,3,210.75,e
1647,66,16,90,2024-06-01,2,131.00,e
1648,106,3,186,2024-05-31,1,55.25,e
1649,48,45,43,2024-05-28,2,135.50,e
1650,53,32,34,2024-05-27,3,210.75,e
1651,110,17,78,2024-06-13,1,55.25,e
1652,160,37,74,2024-06-12,2,135.50,e
1653,23,10,167,2024-06-09,3,210.75,e
1654,164,21,92,2024-06-08,1,55.25,e
1655,97,6,148,2024-06-05,2,120.00,e
1656,46,18,34,2024-06-04,3,210.75,e
1657,93,45,95,2024-06-01,2,131.00,e
1658,109,19,10,2024-05-31,1,55.25,e
1659,163,4,107,2024-05-28,2,135.50,e
1660,48,36,48,2024-05-27,3,210.75,e
1661,112,1,60,2024-06-13,1,55.25,e
1662,158,27,142,2024-06-12,2,135.50,e
1663,34,7,106,2024-06-09,3,210.75,e
1664,7,24,133,2024-06-08,1,55.25,e
1665,42,44,157,2024-06-05,2,120.00,e
1666,57,13,73,2024-06-04,3,210.75,e
1667,129,40,29,2024-06-01,2,131.00,e
1668,177,33,62,2024-05-31,1,55.25,e
1669,124,20,15,2024-05-28,2,135.50,e
1670,113,9,78,2024-05-27,3,210.75,e
1671,131,28,104,2024-06-13,1,55.25,e
1672,78,38,173,2024-06-12,2,135.50,e
1673,84,15,141,2024-06-09,3,210.75,e
1674,38,8,120,2024-06-08,1,55.25,e
1675,126,35,95,2024-06-05,2,120.00,e
1676,22,42,63,2024-06-04,3,210.75,e
1677,181,11,12,2024-06-01,2,131.00,e
1678,149,31,100,2024-05-31,1,55.25,e
1679,186,12,147,2024-05-28,2,135.50,e
1680,96,2,9,2024-05-27,3,210.75,e
1681,93,25,108,2024-06-13,1,55.25,e
1682,122,16,47,2024-06-12,2,135.50,e
1683,12,33,84,2024-06-09,3,210.75,e
1684,123,5,189,2024-06-08,1,55.25,e
1685,151,18,168,2024-06-05,2,120.00,e
1686,44,39,111,2024-06-04,3,210.75,e
1687,169,16,126,2024-06-01,2,131.00,e
1688,183,3,3,2024-05-31,1,55.25,e
1689,35,42,133,2024-05-28,2,135.50,e
1690,147,29,83,2024-05-27,3,210.75,e
1691,104,6,64,2024-06-13,1,55.25,e
1692,107,21,77,2024-06-12,2,135.50,e
1693,83,28,50,2024-06-09,3,210.75,e
1694,144,7,173,2024-06-08,1,55.25,e
1695,137,14,133,2024-06-05,2,120.00,e
1696,131,41,90,2024-06-04,3,210.75,e
1697,64,20,114,2024-06-01,2,131.00,e
1698,8,35,88,2024-05-31,1,55.25,e
1699,66,46,14,2024-05-28,2,135.50,e
1700,27,13,102,2024-05-27,3,210.75,e
1701,11,24,162,2024-06-13,1,55.25,e
1702,137,37,29,2024-06-12,2,135.50,e
1703,168,10,109,2024-06-09,3,210.75,e
1704,22,20,31,2024-06-08,1,55.25,e
1705,99,6,35,2024-06-05,2,120.00,e
1706,42,39,167,2024-06-04,3,210.75,e
1707,97,16,68,2024-06-01,2,131.00,e
1708,133,3,39,2024-05-31,1,55.25,e
1709,166,49,66,2024-05-28,2,135.50,e
1710,33,32,121,2024-05-27,3,210.75,e
1711,100,46,178,2024-06-13,1,55.25,e
1712,30,8,107,2024-06-12,2,135.50,e
1713,174,23,88,2024-06-09,3,210.75,e
1714,117,4,159,2024-06-08,1,55.25,e
1715,29,19,63,2024-06-05,2,120.00,e
1716,97,36,11,2024-06-04,3,210.75,e
1717,38,11,72,2024-06-01,2,131.00,e
1718,86,31,133,2024-05-31,1,55.25,e
1719,181,25,113,2024-05-28,2,135.50,e
1720,139,47,158,2024-05-27,3,210.75,e
1721,86,15,189,2024-06-13,1,55.25,e
1722,37,38,77,2024-06-12,2,135.50,e
1723,35,33,65,2024-06-09,3,210.75,e
1724,103,7,102,2024-06-08,1,55.25,e
1725,126,29,140,2024-06-05,2,120.00,e
