Id,producto_id,sucursal_id,cliente_id,fecha_entrega,cantidad,total_venta,metodo_pago
1,142,7,153,2024-05-06,2,150.00,t
2,85,19,64,2024-05-13,1,45.50,e
3,176,36,122,2024-05-08,3,210.75,t
4,30,45,189,2024-05-16,2,90.00,e
5,58,12,87,2024-05-11,1,30.25,t
6,103,1,178,2024-05-10,2,120.00,e
7,195,28,25,2024-05-07,1,85.00,t
8,12,6,102,2024-05-12,3,180.50,e
9,67,43,55,2024-05-15,1,55.75,t
10,88,5,134,2024-05-14,2,95.00,e
11,159,23,191,2024-05-16,1,60.00,t
12,44,17,78,2024-05-09,2,110.25,e
13,22,49,88,2024-05-12,1,40.50,t
14,181,9,198,2024-05-07,3,270.00,e
15,72,35,33,2024-05-06,2,115.75,t
16,194,15,166,2024-05-13,1,75.00,e
17,127,41,129,2024-05-15,2,135.50,t
18,37,26,44,2024-05-08,1,50.25,e
19,14,3,77,2024-05-11,3,205.00,t
20,93,48,13,2024-05-10,1,70.50,e
21,112,21,112,2024-05-17,2,120.75,t
22,183,38,145,2024-05-14,1,65.00,e
23,55,11,10,2024-05-18,3,255.25,t
24,8,16,69,2024-05-15,2,105.00,e
25,169,33,122,2024-05-09,1,45.50,t
26,26,42,188,2024-05-12,3,180.00,e
27,63,2,95,2024-05-19,2,130.25,t
28,134,29,48,2024-05-16,1,55.00,e
29,179,7,154,2024-05-14,2,95.75,t
30,41,19,31,2024-05-13,1,35.00,e
31,18,36,22,2024-05-10,3,205.50,t
32,100,45,110,2024-05-07,2,125.00,e
33,148,12,77,2024-05-06,1,60.75,t
34,71,1,155,2024-05-13,3,245.00,e
35,199,28,199,2024-05-16,2,105.50,t
36,49,6,167,2024-05-19,1,80.00,e
37,7,43,66,2024-05-15,3,295.25,t
38,118,5,53,2024-05-14,2,115.00,e
39,185,23,133,2024-05-11,1,50.25,t
40,60,17,101,2024-05-18,2,135.50,e
41,81,49,155,2024-05-17,1,75.00,t
42,25,9,188,2024-05-08,3,210.25,e
43,173,35,109,2024-05-07,2,95.00,t
44,34,15,37,2024-05-12,1,40.50,e
45,90,41,57,2024-05-09,3,180.00,t
46,111,26,176,2024-05-14,2,120.25,e
47,162,3,23,2024-05-13,1,55.00,t
48,46,48,168,2024-05-10,2,125.50,e
49,3,21,77,2024-05-17,1,60.25,t
50,132,38,123,2024-05-16,3,295.00,e
